Singular value 0,Singular value 1,Singular value 2,Singular value 3,Singular value 4,Singular value 5,Singular value 6,Singular value 7,x
0.0004923826,0.00077747455,0.00026109576,0.00014266095,0.00034448993,0.00072929607,0.00010952235,0.00054453034,0
0.000117273004,0.0021087334,0.0006044524,0.0010387981,0.000871167,0.0012891953,0.0014939549,0.0010285836,1
0.00041415676,0.00059706724,6.333304e-05,0.00034641442,0.001652456,0.0010800776,0.0011332715,0.0007967893,2
0.00013995539,4.4968747e-05,0.00034156724,0.00033638635,0.0007156784,0.00035502226,0.0017080446,0.0010176963,3
0.00047576992,0.00052430126,0.00014984874,0.0005351053,9.970353e-05,0.00038228402,0.0020539272,0.0047046314,4
0.00036807082,0.0013124149,0.00032750936,0.0009415114,0.0012749728,0.0013822594,0.0033920424,0.00077412,5
0.00041384506,0.00026958343,0.0008608698,0.0005786051,0.000710005,0.00022714982,0.0021050589,0.0014175785,6
0.00014197608,0.0010731705,0.00077890366,0.0011380408,0.002761398,0.0013946324,0.0024201078,0.004058583,7
0.00044501133,0.0004165262,0.00013233854,0.00057126454,0.00062986766,0.00076513476,0.0012668835,0.00027229995,8
0.12767416,0.044271484,0.115792036,0.06054947,0.0007801553,0.002328883,0.0011428733,0.0021967287,9
0.0005942277,0.00066603575,0.0011082051,0.00042294915,0.00062905514,0.00039185936,0.0017267099,0.0016221238,10
0.00043693618,0.00012419377,0.0008644505,0.00027422482,0.00067591725,0.00032051886,0.0028596218,0.0013290773,11
0.0006158321,0.0005017642,0.0002845096,0.000168439,0.0011460086,0.00016752184,0.0035466817,0.0004404708,12
0.0006036164,0.0005090119,0.0002785865,0.00032494438,0.0007621498,0.0006839868,0.002481825,0.0022777242,13
0.00047506724,0.00046269543,0.00053667283,7.1161536e-05,0.0010580415,0.00032917186,0.000575368,0.0039885286,14
0.00062427024,0.0010559083,0.00053763506,0.00039069416,0.00038858753,0.00019609758,0.0032796015,0.003846361,15
0.00036475254,0.00044899937,0.00046293566,0.00058835256,0.0019585188,0.001688067,0.0008850298,0.0011660127,16
0.0002049315,0.00017553123,0.00021814516,0.00012273813,0.00065548177,0.00014460797,0.00018601918,0.0005887534,17
0.00095133396,0.00084052666,0.0011513364,0.00071913085,0.00067148305,0.00019088411,0.00061354233,0.0014383425,18
6.332769e-05,0.00055087294,0.00060107396,0.00092948147,0.0008019578,0.0004023369,0.0029798748,0.0028555437,19
0.0009836777,0.0004729596,0.0007048205,0.00047545414,0.00020438906,0.00082415226,0.0006075731,0.00088485924,20
0.00032314987,0.00015733202,0.00022744834,0.00012869593,0.0020103052,0.0017557848,0.0017228395,0.001728774,21
0.00031591055,0.00034575668,0.0006020261,0.00013190584,0.0011792008,0.000256449,0.0013435417,0.00088586146,22
0.0011427823,0.00052884355,0.0008466814,0.0003873614,0.00060671126,0.0018234367,0.0028455488,0.0010542898,23
0.0008597609,0.00051330554,0.0008257674,9.9901656e-05,0.0006068841,0.00033583515,0.0023799348,0.00224957,24
0.00040485323,0.0006111338,0.00039383973,0.0002381177,0.00056140317,0.00029431292,0.0022951716,0.0015193778,25
9.236317e-05,0.00043880314,0.00026773041,0.00040806775,0.0009703255,0.0008659285,0.005233954,0.0027675736,26
0.001846807,0.001215838,0.0019839471,0.0009379385,0.00081935915,0.00060444366,0.0012975119,0.0004036062,27
0.0006526972,0.00051548844,0.00073649583,6.74514e-05,0.0003958237,0.00078572094,0.0018898634,0.0012261482,28
0.0016064965,0.0015769927,0.0020810901,0.0033286668,0.00058945233,0.0010888326,0.0012076077,0.0033119898,29
0.0010998348,0.0011044311,0.00060748064,0.00089992466,0.0033350189,0.001913485,0.0039750324,0.0023109575,30
0.000612387,9.170057e-05,0.00021298346,0.00019402787,0.0002656595,0.0007639025,0.0012154779,0.0024845863,31
0.0009169481,0.0001289773,0.00040870416,0.0004398789,0.00030538856,0.00077284535,0.00066230365,0.0017007528,32
0.0026044755,0.0014693149,0.0011597751,0.00031583954,0.0023294534,0.00337773,0.13200244,0.13196789,33
0.00035176595,0.00018402492,0.00026580825,0.0005537859,0.00017826681,0.00039083205,0.0014851443,0.0029252616,34
0.00073797954,0.0004370337,0.00072582375,0.00038578318,0.0011012781,0.00074896973,0.0015418024,0.0005175264,35
0.0008407633,0.001982231,0.0008209769,0.0019320487,0.0010526698,0.0009354322,0.0025991045,0.0009711888,36
0.0008352628,0.0016745231,0.0018581678,0.003170855,0.0029617795,0.0021789311,0.000574053,0.003988266,37
0.036924962,0.12532035,0.06525416,0.11819245,0.0007421787,0.0032621466,0.00046906839,0.0021015424,38
0.00036133203,0.00052710576,0.00066648267,0.00040446836,0.0012954172,0.0012859624,0.00050208066,0.0020957678,39
0.00044493866,0.0002236644,0.00059057714,0.00040142506,0.00013123066,0.00035913617,0.0049114786,0.0017750664,40
0.00050715654,0.00016463871,0.00028220666,0.0002682623,0.00031632156,0.0002445308,0.0013220321,0.0029273974,41
0.0003912679,0.0007259782,0.00021451691,0.0004404563,0.0007405376,0.0020707117,0.003492787,0.0010727849,42
0.0003402471,0.00058943994,0.0003060725,0.00023065617,0.000267592,0.0008417396,0.0025213838,0.0038232938,43
0.00040070698,0.00026471412,0.00021500171,9.1943475e-05,0.0007087749,0.0004945631,0.0020790664,0.0008561016,44
0.0023198943,0.00055215094,0.0017694763,0.0030492176,0.13275546,0.1327462,0.0035643363,0.0020742207,45
0.00038020185,0.0004962458,0.0005548683,0.00086581265,0.0006649578,0.0013508681,0.0011274198,0.0003012903,46
0.0011185546,0.0016313422,0.0006891376,0.003867171,0.0017319982,0.0014205667,0.0019129216,0.0012833596,47
0.00043249354,0.00013017964,0.0006059029,0.0004377273,0.00046502674,0.00046347952,0.00041384972,0.001563587,48
0.0002114498,0.00041470904,0.00043171734,8.6817905e-05,0.0006831161,0.00042537902,0.0008389713,0.000374681,49
0.00041054242,0.00033883413,0.00030173373,0.0006947881,0.0016695051,0.001739805,0.00093184167,0.0010171303,50
0.00046174822,0.00049310393,0.00055445783,0.00051316066,0.00042280863,0.0007888436,0.003957582,0.00517178,51
0.00087420497,0.00061994005,0.0011063073,0.00032028675,0.0005998131,0.0005521869,0.0019873641,0.003910076,52
0.00054601836,0.00034783117,0.00078762457,0.0005552579,0.00042784747,0.0008626788,0.00081945176,0.002279511,53
0.0004510674,0.00028530988,6.73414e-05,0.0006743833,0.0017352814,0.0008059535,0.0023388637,0.0010722745,54
0.00011090755,0.0003480121,0.00024266273,0.0008078208,0.00033190072,0.00031742,0.0017255651,0.0022564956,55
